accident_severity,number_of_casualties,crash_type,driver_alcohol,driver_age,driver_experience,weather_conditions,road_light_condition,traffic_density,road_conditions,time_of_day,road_defect,road_type,intersection_related,speed_limit,vehicle_type,vehicle_age,maintenance_required,failure_history,brake_condition,source
slight,1.0,,,,,fine no high winds,daylight,,dry,7:50,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,other,darkness - no lighting,,wet or damp,23:33,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:30,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:45,,dual carriageway,not at junction or within 20 metres,70.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,22:17,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,20:33,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,other,darkness - lights lit,,wet or damp,22:30,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,frost or ice,20:30,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,13:45,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,8:20,,single carriageway,not at junction or within 20 metres,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,frost or ice,23:50,,one way street,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:40,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,18:07,,roundabout,mini-roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:59,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:10,,single carriageway,crossroads,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:22,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,7:15,,single carriageway,private drive or entrance,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,14:18,,single carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,13:25,,roundabout,mini-roundabout,50.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,13:00,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,19:48,,single carriageway,not at junction or within 20 metres,30.0,motorcycle 125cc and under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,3:15,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,darkness - lights lit,,frost or ice,19:33,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - no lighting,,dry,17:05,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,23:30,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,12:32,,dual carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,7:22,,dual carriageway,not at junction or within 20 metres,70.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:31,,dual carriageway,slip road,60.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,11:20,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:50,,single carriageway,t or staggered junction,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,16:32,,dual carriageway,t or staggered junction,50.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,18:00,,one way street,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,14:09,,dual carriageway,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:10,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,daylight,,wet or damp,11:05,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:35,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:35,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,daylight,,wet or damp,9:36,,single carriageway,not at junction or within 20 metres,60.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,unknown,daylight,,dry,9:10,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,11:45,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:40,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,7:30,,dual carriageway,crossroads,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,wet or damp,8:45,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:50,,single carriageway,crossroads,20.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,17:15,,single carriageway,not at junction or within 20 metres,30.0,goods 7.5 tonnes mgw and over,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:00,,single carriageway,more than 4 arms (not roundabout),30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:25,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
serious,1.0,,,,,fine no high winds,daylight,,dry,11:25,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,16:05,,dual carriageway,slip road,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:00,,dual carriageway,crossroads,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,raining no high winds,darkness - lights lit,,wet or damp,17:55,,single carriageway,private drive or entrance,30.0,motorcycle over 125cc and up to 500cc,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,20:28,,single carriageway,not at junction or within 20 metres,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,9:43,,single carriageway,t or staggered junction,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights unlit,,dry,16:45,,single carriageway,roundabout,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,8:45,,dual carriageway,not at junction or within 20 metres,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,10:34,,dual carriageway,slip road,50.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,wet or damp,22:40,,single carriageway,crossroads,40.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,21:00,,single carriageway,roundabout,30.0,car,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,darkness - lights lit,,dry,18:25,,single carriageway,not at junction or within 20 metres,30.0,motorcycle over 500cc,,,,,dataset1_road_accident
serious,1.0,,,,,raining no high winds,daylight,,wet or damp,18:10,,single carriageway,private drive or entrance,30.0,van / goods 3.5 tonnes mgw or under,,,,,dataset1_road_accident
slight,1.0,,,,,fine no high winds,daylight,,dry,15:20,,single carriageway,t or staggered junction,30.0,car,,,,,dataset1_road_accident
